glom,opt1,opt2
D,0.37146735191345215,0.010610759258270264
DA1,0.32658910751342773,0.012775838375091553
DA2,0.18073534965515137,0.008315980434417725
DA3,0.040866732597351074,0.0027264952659606934
DA4l,0.015947282314300537,0.000698089599609375
DA4m,0.16861408948898315,0.0
DC1,0.3145747780799866,0.014135479927062988
DC2,0.12204515933990479,0.0035208463668823242
DC3,0.20079976320266724,0.003937482833862305
DC4,0.16771501302719116,0.009744703769683838
DL1,0.0364496111869812,0.0025191903114318848
DL2d,0.5894016027450562,0.0033499598503112793
DL2v,0.4617558717727661,0.0031737685203552246
DL3,0.05870354175567627,0.006922602653503418
DL4,0.030820488929748535,0.0007073283195495605
DL5,0.32710856199264526,0.000938117504119873
DM1,0.12427210807800293,0.013502836227416992
DM2,0.12271720170974731,0.010754823684692383
DM3,0.021302461624145508,0.0014433860778808594
DM4,0.0769466757774353,0.005475103855133057
DM5,0.09760153293609619,0.011114716529846191
DM6,0.12128299474716187,0.00798112154006958
DP1l,0.48404592275619507,0.0
DP1m,0.04328829050064087,0.006183326244354248
V,0.3773621916770935,0.023462891578674316
VA1d,0.21308988332748413,0.016990065574645996
VA1v,0.27226507663726807,0.020791709423065186
VA2,0.037478864192962646,0.006414234638214111
VA3,0.15391600131988525,0.011717677116394043
VA4,0.13133090734481812,0.002026677131652832
VA5,0.18265801668167114,0.0025026798248291016
VA6,0.30973321199417114,0.010659396648406982
VA7l,0.2288380265235901,0.0
VA7m,0.1587257981300354,0.010653853416442871
VC1,0.37047135829925537,0.001156449317932129
VC2,0.2858002185821533,0.0
VC3,0.29464036226272583,0.005711555480957031
VC4,0.10284054279327393,0.0059702396392822266
VC5,0.48843318223953247,0.004490494728088379
VL1,0.1177147626876831,0.008300244808197021
VL2a,0.2601777911186218,0.005904793739318848
VL2p,0.3817470669746399,0.0035194754600524902
VM1,0.15553343296051025,0.011331260204315186
VM2,0.11098241806030273,0.004545450210571289
VM3,0.20366835594177246,0.0065839290618896484
VM4,0.21491551399230957,0.0
VM5d,0.4126165509223938,0.004519402980804443
VM5v,0.27131348848342896,0.00940924882888794
VM6,0.3640657067298889,0.0
VM6l,0.3691297769546509,0.0012163519859313965
VM6m,0.3689984083175659,0.0012146234512329102
VM6v,0.39571332931518555,0.003964602947235107
VM7d,0.09683513641357422,0.0066664814949035645
VM7v,0.09899049997329712,0.0029667019844055176
