scope,glomerulus,n_orn,n_edges_orn,n_syn_orn,n_edges_local,n_edges_orn_local,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean
orn,D,29,193,2623,1501,1587,50,0.0,0.008410453796386719,0.008482467383146286,0.004205226898193359,0.004241233691573143
orn,D,29,193,2623,1501,1587,100,0.0,0.008412420749664307,0.00846581719815731,0.004206210374832153,0.004232908599078655
orn,D,29,193,2623,1501,1587,250,0.0,0.008399724960327148,0.00838374812155962,0.004199862480163574,0.00419187406077981
orn,D,29,193,2623,1501,1587,500,0.0,0.008385956287384033,0.008344867266714573,0.004192978143692017,0.0041724336333572865
orn,D,29,193,2623,1501,1587,1000,0.0,0.008382081985473633,0.008353961631655693,0.004191040992736816,0.0041769808158278465
orn,DA1,206,1404,10522,2382,3591,50,0.0,0.02337789535522461,0.023596033453941345,0.011688947677612305,0.011798016726970673
orn,DA1,206,1404,10522,2382,3591,100,0.0,0.023395657539367676,0.02358357235789299,0.011697828769683838,0.011791786178946495
orn,DA1,206,1404,10522,2382,3591,250,0.0,0.02334970235824585,0.0233001708984375,0.011674851179122925,0.01165008544921875
orn,DA1,206,1404,10522,2382,3591,500,0.0,0.023318707942962646,0.023221271112561226,0.011659353971481323,0.011610635556280613
orn,DA1,206,1404,10522,2382,3591,1000,0.0,0.02326732873916626,0.023111125454306602,0.01163366436958313,0.011555562727153301
orn,DA2,28,155,1373,1729,1860,50,0.0,0.002059757709503174,0.0020885921549052,0.001029878854751587,0.0010442960774526
orn,DA2,28,155,1373,1729,1860,100,0.0,0.0020620226860046387,0.0020899279043078423,0.0010310113430023193,0.0010449639521539211
orn,DA2,28,155,1373,1729,1860,250,0.0,0.0020612478256225586,0.0020692525431513786,0.0010306239128112793,0.0010346262715756893
orn,DA2,28,155,1373,1729,1860,500,0.0,0.0020603537559509277,0.002062058076262474,0.0010301768779754639,0.001031029038131237
orn,DA2,28,155,1373,1729,1860,1000,0.0,0.002058863639831543,0.00205642799846828,0.0010294318199157715,0.00102821399923414
orn,DA3,14,42,297,365,392,50,0.0,0.0007432699203491211,0.0007561731617897749,0.00037163496017456055,0.00037808658089488745
orn,DA3,14,42,297,365,392,100,0.0,0.0007447004318237305,0.0007583314436487854,0.00037235021591186523,0.0003791657218243927
orn,DA3,14,42,297,365,392,250,0.0,0.0007453560829162598,0.0007518556085415184,0.0003726780414581299,0.0003759278042707592
orn,DA3,14,42,297,365,392,500,0.0,0.000744938850402832,0.0007473360165022314,0.000372469425201416,0.0003736680082511157
orn,DA3,14,42,297,365,392,1000,0.0,0.0007451772689819336,0.0007466064998880029,0.0003725886344909668,0.00037330324994400144
orn,DA4l,27,32,443,220,249,50,0.0,0.0007433891296386719,0.0007583689875900745,0.00037169456481933594,0.00037918449379503727
orn,DA4l,27,32,443,220,249,100,0.0,0.0007447004318237305,0.0007584536215290427,0.00037235021591186523,0.00037922681076452136
orn,DA4l,27,32,443,220,249,250,0.0,0.0007409453392028809,0.0007363543263636529,0.00037047266960144043,0.00036817716318182647
orn,DA4l,27,32,443,220,249,500,0.0,0.0007407665252685547,0.000737609516363591,0.00037038326263427734,0.0003688047581817955
orn,DA4l,27,32,443,220,249,1000,0.0,0.0007382035255432129,0.0007322719902731478,0.00036910176277160645,0.0003661359951365739
orn,DA4m,60,132,1897,2179,2289,50,0.0,0.007865548133850098,0.007743882015347481,0.003932774066925049,0.0038719410076737404
orn,DA4m,60,132,1897,2179,2289,100,0.0,0.007853031158447266,0.007746085990220308,0.003926515579223633,0.003873042995110154
orn,DA4m,60,132,1897,2179,2289,250,0.0,0.007823288440704346,0.0077015734277665615,0.003911644220352173,0.0038507867138832808
orn,DA4m,60,132,1897,2179,2289,500,0.0,0.00779801607131958,0.007673037704080343,0.00389900803565979,0.0038365188520401716
orn,DA4m,60,132,1897,2179,2289,1000,0.0,0.0077474117279052734,0.00758404703810811,0.0038737058639526367,0.003792023519054055
