variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,D,DA1,17,35,6,46,500,0.05600000000000005,0.508365273475647,0.5054601430892944,0.2821826367378235,0.28073007154464724,0.37146735191345215,0.32658910751342773,-0.06837399501944219
pn,D,DA2,17,19,5,31,500,0.050000000000000044,0.41756749153137207,0.4189160466194153,0.23378374576568606,0.23445802330970766,0.37146735191345215,0.18073534965515137,-0.06749792830368051
pn,D,DA3,17,6,0,23,500,0.04400000000000004,0.3886457085609436,0.3890823423862457,0.21632285428047182,0.21654117119312288,0.37146735191345215,0.040866732597351074,-0.008507719010566461
pn,D,DA4l,17,2,0,19,500,0.04600000000000004,0.3780822157859802,0.37829867005348206,0.21204110789299013,0.21214933502674105,0.37146735191345215,0.015947282314300537,-0.0034085237102630117
pn,D,DA4m,17,22,0,39,500,0.05400000000000005,0.4452062249183655,0.44359827041625977,0.24960311245918276,0.2487991352081299,0.37146735191345215,0.16861408948898315,-0.032240587166299406
pn,D,DC1,17,13,6,24,500,0.04800000000000004,0.3835054039955139,0.38428160548210144,0.21575270199775698,0.21614080274105074,0.37146735191345215,0.3145747780799866,-0.18568246620579032
pn,D,DC2,17,8,0,25,500,0.04600000000000004,0.424105167388916,0.4233036935329437,0.23505258369445803,0.23465184676647188,0.37146735191345215,0.12204515933990479,-0.024071551710591166
pn,D,DC3,17,16,0,33,500,0.052000000000000046,0.4606451392173767,0.45948585867881775,0.2563225696086884,0.2557429293394089,0.37146735191345215,0.20079976320266724,-0.037031419596999626
pn,D,DC4,17,22,1,38,500,0.04600000000000004,0.39796173572540283,0.3976048529148102,0.22198086786270144,0.2218024264574051,0.37146735191345215,0.16771501302719116,-0.07891997744989965
pn,D,DL1,17,7,0,24,500,0.04400000000000004,0.3869035243988037,0.38743823766708374,0.21545176219940188,0.2157191188335419,0.37146735191345215,0.0364496111869812,-0.0074735981557267905
pn,D,DL2d,17,31,1,47,500,0.15400000000000003,0.6736668944358826,0.6709190011024475,0.4138334472179413,0.41245950055122377,0.37146735191345215,0.5894016027450562,-0.06825860763737523
pn,D,DL2v,17,20,1,36,500,0.10199999999999998,0.5940251350402832,0.5907308459281921,0.3480125675201416,0.34636542296409606,0.37146735191345215,0.4617558717727661,-0.06767085772801806
pn,D,DL3,17,15,1,31,500,0.04400000000000004,0.3874547481536865,0.3879856467247009,0.21572737407684328,0.21599282336235048,0.37146735191345215,0.05870354175567627,-0.020909696311520065
pn,D,DL4,17,5,0,22,500,0.04600000000000004,0.3843579888343811,0.3844186067581177,0.21517899441719057,0.21520930337905886,0.37146735191345215,0.030820488929748535,-0.006481046601408025
pn,D,DL5,17,7,0,24,500,0.07199999999999995,0.5239661931991577,0.5221512317657471,0.29798309659957883,0.2970756158828735,0.37146735191345215,0.32710856199264526,-0.05309956939531446
pn,D,DM1,17,12,1,28,500,0.050000000000000044,0.41842764616012573,0.42050591111183167,0.2342138230800629,0.23525295555591585,0.37146735191345215,0.12427210807800293,-0.031148782926891272
pn,D,DM2,17,10,0,27,500,0.05400000000000005,0.42626291513442993,0.4278841018676758,0.240131457567215,0.24094205093383791,0.37146735191345215,0.12271720170974731,-0.022336204535420734
pn,D,DM3,17,1,0,18,500,0.04600000000000004,0.38044142723083496,0.3808240294456482,0.2132207136154175,0.21341201472282412,0.37146735191345215,0.021302461624145508,-0.0044152172980034265
pn,D,DM4,17,12,0,29,500,0.04200000000000004,0.40474700927734375,0.40528905391693115,0.2233735046386719,0.2236445269584656,0.37146735191345215,0.0769466757774353,-0.015083840523956837
pn,D,DM5,17,10,0,27,500,0.05800000000000005,0.4152413606643677,0.41778841614723206,0.23662068033218386,0.23789420807361605,0.37146735191345215,0.09760153293609619,-0.01757174120271543
pn,D,DM6,17,15,0,32,500,0.04600000000000004,0.4248964190483093,0.4248933792114258,0.23544820952415468,0.2354466896057129,0.37146735191345215,0.12128299474716187,-0.022801254721443343
pn,D,DP1l,17,25,1,41,500,0.126,0.6068407893180847,0.6064849495887756,0.36642039465904236,0.3662424747943878,0.37146735191345215,0.48404592275619507,-0.06886522822081531
pn,D,DP1m,17,18,1,34,500,0.050000000000000044,0.38110631704330444,0.38179779052734375,0.21555315852165224,0.2158988952636719,0.37146735191345215,0.04328829050064087,-0.017569138729655265
pn,D,V,17,15,1,31,500,0.06799999999999995,0.546129047870636,0.5463683009147644,0.30706452393531797,0.3071841504573822,0.37146735191345215,0.3773621916770935,-0.06252276166536319
pn,D,VA1d,17,27,3,41,500,0.05600000000000005,0.45501774549484253,0.4572354853153229,0.2555088727474213,0.25661774265766146,0.37146735191345215,0.21308988332748413,-0.05038355506688674
pn,D,VA1v,17,35,0,52,500,0.06000000000000005,0.49747252464294434,0.500297486782074,0.2787362623214722,0.280148743391037,0.37146735191345215,0.27226507663726807,-0.0451223168708168
pn,D,VA2,17,11,1,27,500,0.050000000000000044,0.3786007761955261,0.37929269671440125,0.21430038809776308,0.21464634835720064,0.37146735191345215,0.037478864192962646,-0.016423265476404936
pn,D,VA3,17,22,1,38,500,0.04600000000000004,0.4316273331642151,0.4313320517539978,0.23881366658210756,0.23866602587699892,0.37146735191345215,0.15391600131988525,-0.036581250641717133
pn,D,VA4,17,5,1,21,500,0.050000000000000044,0.4201624393463135,0.4184547960758209,0.23508121967315676,0.23422739803791048,0.37146735191345215,0.13133090734481812,-0.03385067553618626
pn,D,VA5,17,12,7,22,500,0.04600000000000004,0.4049701690673828,0.4048433005809784,0.22548508453369143,0.22542165029048922,0.37146735191345215,0.18265801668167114,-0.08130370976523693
pn,D,VA6,17,21,2,36,500,0.04600000000000004,0.44057345390319824,0.4400700032711029,0.24328672695159914,0.24303500163555147,0.37146735191345215,0.30973321199417114,-0.1255713339453024
pn,D,VA7l,17,2,0,19,500,0.06799999999999995,0.4743121266365051,0.47310543060302734,0.27115606331825254,0.27055271530151365,0.37146735191345215,0.2288380265235901,-0.04098739607071877
pn,D,VA7m,17,17,6,28,500,0.04600000000000004,0.42105263471603394,0.42032337188720703,0.233526317358017,0.23316168594360354,0.37146735191345215,0.1587257981300354,-0.05017906341574019
pn,D,VC1,17,17,0,34,500,0.06399999999999995,0.5468126535415649,0.5412226319313049,0.30540632677078244,0.30261131596565244,0.37146735191345215,0.37047135829925537,-0.05750804224393846
pn,D,VC2,17,7,0,24,500,0.06799999999999995,0.5023475885391235,0.4974381625652313,0.28517379426956174,0.28271908128261564,0.37146735191345215,0.2858002185821533,-0.04875453158348364
pn,D,VC3,17,24,0,41,500,0.05400000000000005,0.507335901260376,0.5042952299118042,0.280667950630188,0.2791476149559021,0.37146735191345215,0.29464036226272583,-0.049322537779247
pn,D,VC4,17,12,0,29,500,0.050000000000000044,0.4166274666786194,0.4165908098220825,0.23331373333930971,0.23329540491104128,0.37146735191345215,0.10284054279327393,-0.01947852392734717
pn,D,VC5,17,30,1,46,500,0.08199999999999996,0.6097577810287476,0.6050344109535217,0.34587889051437376,0.34351720547676085,0.37146735191345215,0.48843318223953247,-0.06870577233105735
pn,D,VL1,17,23,0,40,500,0.05800000000000005,0.42259734869003296,0.4266556203365326,0.2402986743450165,0.24232781016826632,0.37146735191345215,0.1177147626876831,-0.02285757473438821
pn,D,VL2a,17,14,1,30,500,0.06599999999999995,0.4833561182022095,0.48231902718544006,0.2746780591011047,0.27415951359272,0.37146735191345215,0.2601777911186218,-0.05164146973633876
pn,D,VL2p,17,33,1,49,500,0.08399999999999996,0.5481463670730591,0.5466272234916687,0.3160731835365295,0.31531361174583433,0.37146735191345215,0.3817470669746399,-0.06326147974523622
pn,D,VM1,17,12,1,28,500,0.052000000000000046,0.4323456287384033,0.4323388636112213,0.24217281436920168,0.24216943180561068,0.37146735191345215,0.15553343296051025,-0.0368795636597099
pn,D,VM2,17,11,0,28,500,0.04600000000000004,0.41992509365081787,0.41844820976257324,0.23296254682540896,0.23222410488128664,0.37146735191345215,0.11098241806030273,-0.02129833137712467
pn,D,VM3,17,13,0,30,500,0.05600000000000005,0.46276921033859253,0.4610975682735443,0.2593846051692963,0.2585487841367722,0.37146735191345215,0.20366835594177246,-0.036710352666375456
pn,D,VM4,17,19,0,36,500,0.05400000000000005,0.4670115113258362,0.4649813175201416,0.2605057556629181,0.2594906587600708,0.37146735191345215,0.21491551399230957,-0.03953725771208383
pn,D,VM5d,17,21,0,38,500,0.07599999999999996,0.5706422924995422,0.5631443858146667,0.3233211462497711,0.31957219290733335,0.37146735191345215,0.4126165509223938,-0.060168032809500005
pn,D,VM5v,17,14,0,31,500,0.052000000000000046,0.4961656928062439,0.49310004711151123,0.27408284640312197,0.27255002355575564,0.37146735191345215,0.27131348848342896,-0.04583104448529696
pn,D,VM6,17,18,1,34,500,0.07799999999999996,0.5379499197006226,0.5340661406517029,0.30797495985031126,0.3060330703258514,0.37146735191345215,0.3640657067298889,-0.062344614941267196
pn,D,VM6l,17,19,1,35,500,0.07399999999999995,0.5409088134765625,0.5370525121688843,0.3074544067382812,0.3055262560844421,0.37146735191345215,0.3691297769546509,-0.06256865463379313
pn,D,VM6m,17,12,1,28,500,0.07399999999999995,0.5408371686935425,0.5369799733161926,0.3074185843467712,0.3054899866580963,0.37146735191345215,0.3689984083175659,-0.06255772993947062
pn,D,VM6v,17,18,1,34,500,0.06799999999999995,0.555651068687439,0.5523937940597534,0.31182553434371946,0.3101968970298767,0.37146735191345215,0.39571332931518555,-0.06453502998363092
pn,D,VM7d,17,17,0,34,500,0.050000000000000044,0.4139289855957031,0.4137963652610779,0.23196449279785158,0.23189818263053896,0.37146735191345215,0.09683513641357422,-0.018402411035594923
pn,D,VM7v,17,13,0,30,500,0.04600000000000004,0.4144424796104431,0.41344499588012695,0.23022123980522158,0.2297224979400635,0.37146735191345215,0.09899049997329712,-0.019243633386636816
pn,DA1,DA2,35,19,0,54,500,0.030000000000000027,0.41895461082458496,0.41502609848976135,0.2244773054122925,0.2225130492448807,0.32658910751342773,0.18073534965515137,-0.029343649803990957
pn,DA1,DA3,35,6,0,41,500,0.026000000000000023,0.34710198640823364,0.3432953953742981,0.18655099320411683,0.18464769768714906,0.32658910751342773,0.040866732597351074,-0.007007223976586374
pn,DA1,DA4l,35,2,1,36,500,0.03400000000000003,0.32698243856430054,0.3228864371776581,0.18049121928215028,0.17844321858882906,0.32658910751342773,0.015947282314300537,-0.010345742565135652
pn,DA1,DA4m,35,22,0,57,500,0.04600000000000004,0.4091312289237976,0.403565913438797,0.22756561446189882,0.22478295671939852,0.32658910751342773,0.16861408948898315,-0.031004443078217037
