variant,glomerulus,n_listed,n_seed_excluded,n_effective,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean
pn,D,82,11,17,50,0.040000000000000036,0.3724730610847473,0.3734544813632965,0.20623653054237367,0.20672724068164827
pn,D,82,11,17,100,0.010000000000000009,0.3712669610977173,0.3673921227455139,0.19063348054885865,0.18869606137275696
pn,D,82,11,17,250,0.020000000000000018,0.370949387550354,0.3688223958015442,0.195474693775177,0.1944111979007721
pn,D,82,11,17,500,0.04600000000000004,0.37146735191345215,0.3717435598373413,0.2087336759567261,0.20887177991867067
pn,D,82,11,17,1000,0.050000000000000044,0.37174850702285767,0.37266838550567627,0.21087425351142886,0.21133419275283816
pn,DA1,133,22,35,50,0.040000000000000036,0.32910311222076416,0.32909202575683594,0.1845515561103821,0.184546012878418
pn,DA1,133,22,35,100,0.030000000000000027,0.3286539912223816,0.3268761932849884,0.1793269956111908,0.17843809664249421
pn,DA1,133,22,35,250,0.020000000000000018,0.3274933099746704,0.3236759603023529,0.17374665498733521,0.17183798015117646
pn,DA1,133,22,35,500,0.03400000000000003,0.32658910751342773,0.3224765658378601,0.18029455375671388,0.17823828291893007
pn,DA1,133,22,35,1000,0.031000000000000028,0.3251596689224243,0.3203246593475342,0.17807983446121217,0.1756623296737671
pn,DA2,92,4,19,50,0.020000000000000018,0.1814555525779724,0.1825069785118103,0.10072777628898621,0.10125348925590516
pn,DA2,92,4,19,100,0.010000000000000009,0.18092972040176392,0.17974333465099335,0.09546486020088196,0.09487166732549668
pn,DA2,92,4,19,250,0.028000000000000025,0.18092554807662964,0.18060292303562164,0.10446277403831483,0.10430146151781083
pn,DA2,92,4,19,500,0.018000000000000016,0.18073534965515137,0.18020740151405334,0.09936767482757569,0.09910370075702668
pn,DA2,92,4,19,1000,0.020000000000000018,0.1807340383529663,0.18046635389328003,0.10036701917648316,0.10023317694664002
pn,DA3,39,8,6,50,0.020000000000000018,0.040818631649017334,0.041986193507909775,0.030409315824508676,0.030993096753954896
pn,DA3,39,8,6,100,0.0,0.040691494941711426,0.04089077562093735,0.020345747470855713,0.020445387810468674
pn,DA3,39,8,6,250,0.01200000000000001,0.040915071964263916,0.041679710149765015,0.026457535982131963,0.026839855074882513
