glomerulus,n_listed,n_not_in_W,n_seed_excluded,n_effective_pn,n_effective_all
D,82,0,11,17,71
DA1,133,1,22,35,110
DA2,92,0,4,19,88
DA3,39,0,8,6,31
DA4l,30,0,3,2,27
DA4m,118,0,13,22,105
DC1,114,0,33,13,81
DC2,68,0,9,8,59
DC3,76,0,2,16,74
DC4,123,1,24,22,98
DL1,63,0,8,7,55
DL2d,133,0,14,31,119
DL2v,139,0,26,20,113
DL3,33,0,0,15,33
DL4,26,0,3,5,23
DL5,79,0,12,7,67
DM1,154,0,69,12,85
DM2,86,0,32,10,54
DM3,20,0,1,1,19
DM4,113,0,26,12,87
DM5,66,0,8,10,58
DM6,83,0,14,15,69
DP1l,190,0,47,25,143
DP1m,115,0,21,18,94
V,106,0,49,15,57
VA1d,105,0,14,27,91
VA1v,121,0,20,35,101
VA2,157,0,46,11,111
VA3,158,0,23,22,135
VA4,100,0,11,5,89
VA5,94,0,3,12,91
VA6,126,0,7,21,119
VA7l,15,0,1,2,14
VA7m,126,0,9,17,117
VC1,138,0,27,17,111
VC2,63,0,12,7,51
VC3,81,0,5,24,76
VC4,74,0,7,12,67
VC5,87,0,3,30,84
VL1,139,0,18,23,121
VL2a,91,0,12,14,79
VL2p,181,0,27,33,154
VM1,88,0,13,12,75
VM2,88,0,1,11,87
VM3,81,0,12,13,69
VM4,57,0,4,19,53
VM5d,92,0,11,21,81
VM5v,100,0,23,14,77
VM6,77,0,3,18,74
VM6l,57,0,3,19,54
VM6m,39,0,3,12,36
VM6v,113,1,17,18,95
VM7d,95,0,20,17,75
VM7v,69,0,14,13,55
