glomerulus,neurons
D,"720575941415657873,720575941430764536,720575941431339768,720575941439303743,720575941439777759,720575941439824402,720575941441694555,720575941454221127,720575941454707625,720575941455375411,720575941463514768,720575941467994198,720575941472725771,720575941474918442,720575941477262388,720575941478599454,720575941483447994,720575941484789178,720575941486511682,720575941486555533,720575941487548301,720575941490721333,720575941492598476,720575941496262855,720575941496973952,720575941499913953,720575941504989015,720575941508216866,720575941509200990,720575941517612378,720575941519202732,720575941523018487,720575941525516619,720575941527668482,720575941528270338,720575941533107685,720575941535022570,720575941535481793,720575941536605160,720575941537352970,720575941537986275,720575941538867683,720575941539183331,720575941539808205,720575941540123740,720575941550691361,720575941555414273,720575941560622195,720575941561384493,720575941562877229,720575941564149416,720575941566876055,720575941568458286,720575941574291195,720575941579108953,720575941584738399,720575941585819999,720575941590023492,720575941591148343,720575941596694823,720575941597223025,720575941597601669,720575941599261340,720575941603666617,720575941606127550,720575941607529325,720575941610893386,720575941611690086,720575941612271946,720575941613506989,720575941613704156,720575941627518828,720575941628446521,720575941640456309,720575941643655525,720575941653756145,720575941654891481,720575941658561048,720575941658668056,720575941671349671,720575941681950909,720575941690901723"
DA1,"720575941394900886,720575941408796975,720575941411131819,720575941415657873,720575941416666396,720575941418143004,720575941431353775,720575941432492247,720575941436567694,720575941439824402,720575941440284245,720575941441694555,720575941442706267,720575941443325391,720575941451959118,720575941452718407,720575941454221127,720575941456827117,720575941463900429,720575941467776278,720575941471099613,720575941472725771,720575941474918442,720575941475410740,720575941477223217,720575941477262388,720575941477838401,720575941477854785,720575941478599454,720575941479047648,720575941481225039,720575941482015174,720575941482051235,720575941483070662,720575941483447994,720575941483458490,720575941484789178,720575941491218608,720575941492598476,720575941496973952,720575941496984448,720575941499671675,720575941499912866,720575941499913953,720575941502600843,720575941504989015,720575941507047703,720575941508213794,720575941515922179,720575941516860563,720575941516906330,720575941517208666,720575941519202732,720575941522006711,720575941522648823,720575941523018487,720575941525516619,720575941527014500,720575941528270338,720575941529585592,720575941529760952,720575941530400644,720575941530459851,720575941530828728,720575941535620018,720575941536776938,720575941537753320,720575941537986275,720575941539183331,720575941539323541,720575941539808205,720575941540123740,720575941542904861,720575941543064861,720575941543514716,720575941546119429,720575941546196997,720575941549554721,720575941550987892,720575941551516020,720575941551975679,720575941553728410,720575941553735815,720575941555414273,720575941555642707,720575941557433060,720575941557812004,720575941565483062,720575941566668898,720575941566866071,720575941568458286,720575941569471278,720575941575688200,720575941576163849,720575941577599592,720575941579758417,720575941585819999,720575941590023492,720575941590497860,720575941591148343,720575941592972840,720575941595887143,720575941595987158,720575941596234865,720575941596694823,720575941597223025,720575941599261340,720575941600109504,720575941606127550,720575941607845741,720575941611690086,720575941612271946,720575941613506989,720575941614581779,720575941615484947,720575941624345084,720575941626338954,720575941626738745,720575941627278137,720575941628446521,720575941633106885,720575941639495285,720575941652750321,720575941652847345,720575941653756145,720575941657072208,720575941658668056,720575941667080947,720575941670030257,720575941671077809,720575941688323340,720575941689084172,720575941690728667"
DA2,"720575941352877616,720575941392716694,720575941393745302,720575941394900886,720575941407703214,720575941432405423,720575941439303743,720575941439824402,720575941440284245,720575941453022279,720575941454221127,720575941460776388,720575941461326547,720575941469006557,720575941472725771,720575941474567978,720575941474918442,720575941477358878,720575941478599454,720575941480860323,720575941482051235,720575941482111139,720575941483539654,720575941487548301,720575941490721333,720575941492598476,720575941496984704,720575941500279369,720575941504989015,720575941509893505,720575941512609091,720575941513091404,720575941516418883,720575941519202732,720575941519327086,720575941525516619,720575941526838884,720575941529898168,720575941532541387,720575941535075250,720575941535087704,720575941535481793,720575941535689242,720575941536603368,720575941536605160,720575941537538280,720575941537753320,720575941537986275,720575941539808205,720575941543230237,720575941550691361,720575941555414273,720575941557204196,720575941557566884,720575941558475428,720575941560622195,720575941561384493,720575941562877229,720575941563169170,720575941563347112,720575941565405026,720575941566876055,720575941567392302,720575941568333102,720575941569633530,720575941570144244,720575941575529359,720575941584738399,720575941585819999,720575941586873478,720575941590023492,720575941591148343,720575941595498277,720575941596694823,720575941597223025,720575941599261340,720575941599987648,720575941604964030,720575941606127550,720575941607529325,720575941607888237,720575941608642413,720575941610100554,720575941613506989,720575941613704156,720575941628446521,720575941633338528,720575941653756145,720575941660512336,720575941671349671,720575941688323340,720575941692228248"
DA3,"720575941439824402,720575941455088691,720575941470432887,720575941472725771,720575941474918442,720575941478599454,720575941480337376,720575941492598476,720575941493553584,720575941501178786,720575941504989015,720575941505459394,720575941519202732,720575941533275365,720575941550226804,720575941551975679,720575941555700307,720575941560131310,720575941561384493,720575941562877229,720575941565141858,720575941565356130,720575941566876055,720575941585819999,720575941591148343,720575941591716094,720575941596694823,720575941597223025,720575941599987648,720575941606127550,720575941611536617,720575941620273023,720575941624151690,720575941639495285,720575941641538079,720575941653756145,720575941688195567,720575941688909174,720575941704102618"
DA4l,"720575941393745302,720575941394900886,720575941432596183,720575941436255374,720575941439505749,720575941478662250,720575941483447994,720575941507047703,720575941516860563,720575941519202732,720575941519327086,720575941528270338,720575941535022570,720575941535620018,720575941547512500,720575941562877229,720575941564149416,720575941567129134,720575941590023492,720575941591148343,720575941596694823,720575941597223025,720575941599261340,720575941606127550,720575941613506989,720575941628446521,720575941643449426,720575941653756145,720575941688848396,720575941689426927"
DA4m,"720575941393745302,720575941394900886,720575941412477355,720575941413768815,720575941427599956,720575941431339768,720575941433344398,720575941436255374,720575941437644076,720575941437775148,720575941438348562,720575941438563039,720575941439824402,720575941440284245,720575941441370815,720575941449243668,720575941452718407,720575941454221127,720575941459513796,720575941460776388,720575941461094084,720575941463514768,720575941466884374,720575941469006557,720575941472725771,720575941474918442,720575941477870913,720575941478030560,720575941478199776,720575941478599454,720575941478662250,720575941480062659,720575941482051235,720575941482111139,720575941488953033,720575941490721333,720575941492467150,720575941492598476,720575941495971712,720575941496984448,720575941498871777,720575941504978775,720575941504989015,720575941505071959,720575941513159377,720575941515011907,720575941516791139,720575941519202732,720575941522006711,720575941526838884,720575941527244569,720575941527668482,720575941530544331,720575941531370187,720575941532690149,720575941532938674,720575941533599205,720575941535087704,720575941536605160,720575941537753320,720575941539808205,720575941540376981,720575941543514716,720575941550691361,720575941551975679,720575941554107419,720575941555414273,720575941555729747,720575941558475428,720575941561333230,720575941561384493,720575941562877229,720575941563501736,720575941563509928,720575941564149416,720575941565153031,720575941566796647,720575941566876055,720575941567720750,720575941570144244,720575941571930107,720575941578469201,720575941585819999,720575941588916036,720575941590023492,720575941591148343,720575941592022312,720575941596694823,720575941596879729,720575941598545449,720575941599261340,720575941603666617,720575941604964030,720575941605179838,720575941606127550,720575941612274150,720575941612680924,720575941613506989,720575941613704156,720575941617868671,720575941620239743,720575941624151690,720575941630062818,720575941631032034,720575941634138309,720575941634159803,720575941639495285,720575941643413093,720575941653756145,720575941654891481,720575941658668056,720575941662510648,720575941687758092,720575941688323340,720575941688909174,720575941692228248,720575941704102618,720575941732786219"
DC1,"720575941412138095,720575941412477355,720575941430764536,720575941431339768,720575941439303743,720575941439824402,720575941445138090,720575941449130933,720575941450665397,720575941454221127,720575941454722985,720575941458978207,720575941460254704,720575941460316831,720575941461945796,720575941463514768,720575941472725771,720575941474918442,720575941478599454,720575941482111139,720575941492467150,720575941492598476,720575941492973287,720575941496262855,720575941496973952,720575941499503522,720575941504978775,720575941509200990,720575941509434146,720575941510824208,720575941515922179,720575941519075438,720575941519202732,720575941522754995,720575941523018487,720575941528270338,720575941534989656,720575941535022570,720575941535023794,720575941535087704,720575941536109578,720575941536352856,720575941536605160,720575941536732954,720575941537255946,720575941537352970,720575941537380289,720575941537753320,720575941537986275,720575941539183331,720575941540589693,720575941543514716,720575941549519905,720575941550691361,720575941550705441,720575941553735815,720575941553952647,720575941555700307,720575941555750483,720575941558363684,720575941559606564,720575941560578163,720575941560591917,720575941562877229,720575941563465640,720575941565405026,720575941568333102,720575941568458286,720575941569509678,720575941570144244,720575941572867081,720575941572886856,720575941574970013,720575941577667161,720575941579108953,720575941580709201,720575941585819999,720575941586776798,720575941590010180,720575941590023492,720575941591148343,720575941592943656,720575941596694823,720575941597223025,720575941597601669,720575941599261340,720575941603666617,720575941606127550,720575941611690086,720575941612205926,720575941612518502,720575941613506989,720575941613704156,720575941618610133,720575941624345084,720575941625978011,720575941627518828,720575941628446521,720575941643413093,720575941645242744,720575941653756145,720575941654891481,720575941658128408,720575941658561048,720575941658668056,720575941658864920,720575941671312305,720575941671349671,720575941671635623,720575941689084172,720575941691093656,720575941692228248,720575941722622778,720575941723350074"
DC2,"720575941411131819,720575941412138095,720575941431339768,720575941439824402,720575941440284245,720575941443325391,720575941450242653,720575941454221127,720575941463514768,720575941472725771,720575941474567978,720575941474918442,720575941477294878,720575941477734506,720575941478599454,720575941481225039,720575941482111139,720575941487548301,720575941495925886,720575941496262855,720575941496984448,720575941496984704,720575941499988642,720575941504978775,720575941506262844,720575941508695646,720575941509434146,720575941513999569,720575941515922179,720575941519075438,720575941519202732,720575941520998327,720575941523018487,720575941536461338,720575941536605160,720575941537380289,720575941537753320,720575941537986275,720575941541334141,720575941550987892,720575941555700307,720575941557120769,720575941560171279,720575941568458286,720575941569643634,720575941577667161,720575941579108953,720575941585819999,720575941586869382,720575941587487198,720575941590023492,720575941591148343,720575941596694823,720575941597223025,720575941603666617,720575941606127550,720575941613506989,720575941628446521,720575941639495285,720575941643413093,720575941644529569,720575941645242744,720575941645294200,720575941653322517,720575941653756145,720575941654140121,720575941654891481,720575941658668056"
DC3,"720575941352877616,720575941393745302,720575941394900886,720575941413768815,720575941439824402,720575941450717006,720575941454221127,720575941460927172,720575941467712278,720575941472725771,720575941474918442,720575941477262388,720575941477294878,720575941478599454,720575941482244547,720575941483447994,720575941490721333,720575941492598476,720575941496262855,720575941505071959,720575941507036485,720575941509200990,720575941514608849,720575941515922179,720575941519202732,720575941519327086,720575941521581491,720575941523018487,720575941525516619,720575941533275365,720575941533599205,720575941536605160,720575941536776938,720575941537986275,720575941539183331,720575941539808205,720575941540197212,720575941543230237,720575941543514716,720575941547367604,720575941550226804,720575941550691361,720575941551129343,720575941553728410,720575941555700307,720575941561384493,720575941562877229,720575941565405026,720575941565483062,720575941566876055,720575941567720750,720575941568333102,720575941569643634,720575941576743528,720575941580656465,720575941585819999,720575941588916036,720575941591148343,720575941596694823,720575941597223025,720575941599261340,720575941603666617,720575941606127550,720575941613506989,720575941613704156,720575941620273023,720575941628446521,720575941639495285,720575941641538079,720575941645294200,720575941653322517,720575941653756145,720575941659305752,720575941671349671,720575941691218072,720575941692228248"
DC4,"720575941391873540,720575941392924676,720575941411131819,720575941418143004,720575941427599956,720575941431339768,720575941434619534,720575941439824402,720575941440284245,720575941441295311,720575941442594907,720575941445101738,720575941452718407,720575941452923975,720575941454221127,720575941457951725,720575941459513796,720575941460776388,720575941463514768,720575941468869853,720575941472725771,720575941472995168,720575941474567978,720575941474918442,720575941475472443,720575941477197418,720575941478599454,720575941482223299,720575941485863746,720575941490473269,720575941492490700,720575941492598476,720575941493296615,720575941496262855,720575941496984704,720575941501178786,720575941504978775,720575941504989015,720575941508655058,720575941509200990,720575941513159377,720575941513788881,720575941515922179,720575941519202732,720575941519327086,720575941520798899,720575941522006711,720575941523018487,720575941524477515,720575941526775140,720575941526859010,720575941526943746,720575941534394858,720575941535022570,720575941535087704,720575941536605160,720575941537753320,720575941537986275,720575941539794125,720575941544228101,720575941544269317,720575941549963892,720575941551975679,720575941552796990,720575941553728410,720575941555414273,720575941557145939,720575941562586280,720575941563501736,720575941564659712,720575941565405026,720575941566876055,720575941567736423,720575941568333102,720575941568417582,720575941568458286,720575941570144244,720575941570717178,720575941572439709,720575941572867081,720575941574993929,720575941576516456,720575941585819999,720575941586869382,720575941591148343,720575941592004392,720575941592685196,720575941594595621,720575941596694823,720575941597223025,720575941597601669,720575941598545449,720575941599261340,720575941599693724,720575941599987648,720575941603666617,720575941604964030,720575941606127550,720575941608631405,720575941611690086,720575941612499676,720575941613506989,720575941613704156,720575941614581779,720575941615414169,720575941625680778,720575941626183323,720575941638723189,720575941639495285,720575941653756145,720575941654477017,720575941654891481,720575941656329945,720575941658668056,720575941660512336,720575941663897912,720575941669235121,720575941671349671,720575941671635623,720575941678615229,720575941689084172,720575941692228248,720575941731656747"
